latitude,longitude,depth,mag,net
4.036,126.548,27,6.3,pde
3.972,126.724,35,6,pde
3.947,126.411,26,6,pde
4.026,126.783,35,6,pde
3.886,126.387,20,7.2,pde
-6.567,-81.15,15,6,pde
-13.582,-76.558,21,6,pde
-7.307,128.568,146.7,6.1,pde
-5.912,148.511,44,6.1,pde
-22.689,171.043,24,6.1,pde
-22.477,170.806,35,6,pde
-22.596,170.911,12,6.6,pde
-30.199,-177.951,33,6.4,pde
46.857,155.154,36,7.4,pde
-22.352,170.635,27,6.7,pde
-13.147,66.078,10,6,pde
10.165,-84.197,14,6.1,pde
-0.659,133.434,16,6,pde
-0.691,133.305,23,7.4,pde
36.419,70.743,204.8,6.6,pde
-0.414,132.885,17,7.7,pde
5.752,125.377,206,6.3,pde
-17.29,-171.909,9,6,pde
36.541,142.425,19,6.3,pde
-32.473,-72.051,25,6,pde
-32.458,-71.726,18,6.2,pde
-12.337,166.572,51,6,pde
-15.929,168.173,224.1,6.1,pde
-31.232,-176.924,18,6.8,pde
-53.005,106.823,11,6.3,pde
-7.393,124.745,398,6.4,pde
-18.701,-177.716,386,6,pde
54.203,154.322,492.3,7.3,pde
-1.23,-13.933,10,6.3,pde
-22.523,171.199,57.3,6.4,pde
-4.348,101.259,24,6.3,pde
-8.947,159.553,118,6.1,pde
8.267,-82.967,32,6.3,pde
1.271,122.091,30,7.4,pde
37.565,95.833,19,6.3,pde
-15.223,-174.232,121,6,pde
-6.712,129.074,10,6.2,pde
-14.829,168.032,13,6.4,pde
-17.135,168.458,205.7,6.3,pde
51.552,-174.366,36,6.1,pde
-3.399,148.712,10,6,pde
-9.02,-108.246,10,6.1,pde
30.598,67.455,14,6.4,pde
30.639,67.351,15,6.4,pde
-3.494,145.867,18.3,6,pde
-2.635,145.574,10,6.3,pde
